*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      AUG 23, 2017; 14:09:34
                                                                                
*RUN   1        : P1                        MZCER046 0\000000    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : 0\000000 BN Calibracion Cerete 2013                           
 DATA PATH      : C:\L\0\00000                                                  
 TREATMENT  1   : P1                        MZCER046                            
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2013 123    19    18    9.0      2   0.53    271     12      0     91    283    283      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.78   0.00   0.00      0      0    194.9   0.28   0.00   0.43    0.62    0.73    0.45    0.03    0.00    0.00      0      0      0       0       2 17.34
 2013 124    20    19    9.0      2   0.63    339     12      0    122    351    351      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.73   0.00   0.00      0      0    186.1   0.34   0.00   0.45    0.76    0.86    0.66    0.07    0.00    0.00      0      0      0       0       2 20.68
 2013 125    21    20   10.0      2   0.72    398     12      0    132    410    410      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.69   0.00   0.00      0      0    179.9   0.39   0.00   0.47    0.79    0.90    0.73    0.09    0.00    0.00      0      0      0       0       3 17.55
 2013 126    22    21   10.0      3   0.83    482     13      0    152    495    495      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.61   0.00   0.00      0      0    172.6   0.45   0.00   0.49    0.86    0.97    0.85    0.13    0.00    0.00      0      0      0       0       3 20.01
 2013 127    23    22   11.0      3   0.92    544     14      0    155    557    557      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.55   0.00   0.00      0      0    168.9   0.49   0.00   0.50    0.87    0.98    0.87    0.13    0.00    0.00      0      0      0       0       4 15.70
 2013 128    24    23   11.0      3   1.05    641     17      0    183    658    658      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.49   0.00   0.00      0      0    163.9   0.57   0.00   0.52    0.95    1.07    1.02    0.21    0.00    0.00      0      0      0       0       5 18.60
 2013 129    25    24   11.0      3   1.19    748     23      0    190    772    772      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.43   0.00   0.00      0      0    159.3   0.64   0.00   0.54    0.98    1.08    1.06    0.24    0.00    0.00      0      0      0       0       6 18.45
 2013 130    26    25   12.0      3   1.37    885     37      0    234    922    922      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.37   0.00   0.00      0      0    154.4   0.74   0.00   0.56    1.99    1.08    1.12    0.34    0.02    0.00      0      0      0       0       7 19.25
 2013 131    27    26   12.0      3   1.55   1030     57      0    246   1088   1088      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.32   0.00   0.00      0      0    150.1   0.83   0.00   0.58    2.29    1.08    1.12    0.36    0.02    0.00      0      0      0       0       8 19.80
 2013 132    28    27   13.0      3   1.73   1180     87      0    279   1267   1267      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.26   0.00   0.00      0      0    146.3   0.93   0.00   0.61    2.79    1.37    1.12    0.39    0.04    0.00      0      0      0       0       9 19.80
